,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
0,1,3008,大立光,市,12/27,,4995,+55,+1.11,296,1478,4940,4965,5010,4950,1.21,25.1,5.65,,,,
1,2,6510,精測,櫃,12/27,,1005,-50,-4.74,591,608,1055,1070,1070,1000,6.64,52.8,5.25,,,,
2,3,5274,信驊,櫃,12/27,,944,-6,-0.63,96,90.8,950,955,959,944,1.58,42,13.5,,,,
3,4,6415,矽力-KY,市,12/27,,936,+1,+0.11,271,255,935,943,953,934,2.03,42,5.96,,,,
4,5,6409,旭隼,市,12/27,,715,+2,+0.28,41,29.5,713,716,717,714,0.42,28.7,13.6,,,,
5,6,2207,和泰車,市,12/27,,703,+14,+2.03,402,281,689,692,703,691,1.74,34.2,7.27,,,,
6,7,5269,祥碩,市,12/27,,635,0,0,163,103,635,635,638,626,1.89,36.6,16.3,,,,
7,8,4966,譜瑞-KY,櫃,12/27,,606,+2,+0.33,86,52.3,604,606,610,605,0.83,19.4,4.4,,,,
8,9,6669,緯穎,市,12/27,,606,-8,-1.3,835,511,614,619,619,606,2.12,19.2,5.74,,,,
9,10,3406,玉晶光,市,12/27,,538,-2,-0.37,3136,1691,540,543,543,536,1.3,29.9,6.05,,,,
10,11,1565,精華,櫃,12/27,,466,+0.5,+0.11,212,98.1,465.5,466,466.5,458.5,1.72,16.8,4.31,,,,
11,12,2454,聯發科,市,12/27,,446.5,-2.5,-0.56,4174,1876,449,451.5,452.5,446,1.45,34.4,2.27,,,,
12,13,1590,亞德客-KY,市,12/27,,441.5,+6.5,+1.49,310,137,435,438.5,443,437,1.38,32.4,4.77,,,,
13,14,5904,寶雅,櫃,12/27,,426.5,+7.5,+1.79,57,24,419,419.5,427.5,418,2.27,23.2,10.7,,,,
14,15,2327,國巨,市,12/27,,411,+9,+2.24,8107,3310,402,406,411,403,1.99,17,3.86,,,,
15,16,1476,儒鴻,市,12/27,,405,-1,-0.25,120,48.8,406,410,410,405,1.23,25.2,6.49,,,,
16,17,6488,環球晶,櫃,12/27,,387.5,+1,+0.26,2528,984,386.5,390,391.5,387.5,1.03,11.7,3.92,,,,
17,18,3293,鈊象,櫃,12/27,,380.5,-1,-0.26,431,164,381.5,383.5,385,380,1.31,16.4,6.08,,,,
18,19,3529,力旺,櫃,12/27,,366.5,+2.5,+0.69,211,77.2,364,365.5,372,362.5,2.61,48.2,17.3,,,,
19,20,2059,川湖,市,12/27,,355,+1,+0.28,230,81.7,354,354,357,350.5,1.84,19.6,3.25,,,,
20,21,3563,牧德,市,12/27,,355,+12,+3.5,2598,914,343,345,359,341,5.25,13.6,8.28,,,,
21,22,8299,群聯,櫃,12/27,,345,-1,-0.29,2918,1007,346,346,348,341,2.02,16.6,2.44,,,,
22,23,6643,M31,櫃,12/27,,338.5,+12,+3.68,800,268,326.5,327,342,327,4.59,32.5,7.85,,,,
23,24,2330,台積電,市,12/27,,338,+5,+1.5,16678,5624,333,335,338,335,0.9,26.6,5.52,,,,
