,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
0,1,3008,大立光,市,12/18,,5040,0,0,773,3874,5040,5000,5040,4980,1.19,25.4,5.7,,,,
1,2,6510,精測,櫃,12/18,,1025,-60,-5.53,924,963,1085,1085,1085,1015,6.45,53.9,5.35,,,,
2,3,5274,信驊,櫃,12/18,,958,-22,-2.24,113,108,980,975,975,950,2.55,42.6,13.7,,,,
3,4,6415,矽力-KY,市,12/18,,952,-33,-3.35,409,395,985,991,991,951,4.06,42.7,6.06,,,,
4,5,6409,旭隼,市,12/18,,723,+10,+1.4,165,120,713,730,743,722,2.95,29,13.7,,,,
5,6,2207,和泰車,市,12/18,,666,+7,+1.06,450,298,659,661,666,651,2.28,32.4,6.89,,,,
6,7,5269,祥碩,市,12/18,,640,+10,+1.59,376,240,630,636,642,631,1.75,36.9,16.4,,,,
7,8,4966,譜瑞-KY,櫃,12/18,,615,+1,+0.16,545,335,614,619,622,609,2.12,19.7,4.46,,,,
8,9,6669,緯穎,市,12/18,,614,-5,-0.81,1414,876,619,624,630,610,3.23,19.5,5.81,,,,
9,10,3406,玉晶光,市,12/18,,537,+18,+3.47,16630,8864,519,515,546,513,6.36,29.8,6.03,,,,
10,11,1565,精華,櫃,12/18,,468.5,-6.5,-1.37,348,163,475,473,473,466,1.47,16.9,4.34,,,,
11,12,2454,聯發科,市,12/18,,456.5,-4,-0.87,11852,5398,460.5,460,460,453,1.52,35.2,2.32,,,,
12,13,1590,亞德客-KY,市,12/18,,443,+3.5,+0.8,989,441,439.5,443.5,450,439,2.5,32.5,4.78,,,,
13,14,5904,寶雅,櫃,12/18,,432.5,-4,-0.92,31,13.5,436.5,436.5,436.5,432,1.03,23.5,10.9,,,,
14,15,1476,儒鴻,市,12/18,,412,+9.5,+2.36,1137,466,402.5,404.5,412,402,2.48,25.6,6.6,,,,
15,16,6488,環球晶,櫃,12/18,,380,+1,+0.26,7146,2744,379,382,389.5,380,2.51,11.5,3.84,,,,
16,17,3293,鈊象,櫃,12/18,,378,-3.5,-0.92,676,257,381.5,383.5,384.5,376.5,2.1,16.3,6.04,,,,
17,18,2327,國巨,市,12/18,,376.5,-0.5,-0.13,8643,3277,377,376,383.5,374,2.52,15.5,3.54,,,,
18,19,3529,力旺,櫃,12/18,,368,+10.5,+2.94,545,201,357.5,363,373,362.5,2.94,48.4,17.4,,,,
19,20,2059,川湖,市,12/18,,354,-1.5,-0.42,187,66.4,355.5,356,356.5,353.5,0.84,19.5,3.24,,,,
20,21,2330,台積電,市,12/18,,344.5,-0.5,-0.14,42487,14595,345,341.5,345,341.5,1.01,27.1,5.63,,,,
21,22,6643,M31,櫃,12/18,,332.5,-2,-0.6,489,166,334.5,338,343,332.5,3.14,31.9,7.71,,,,
22,23,3533,嘉澤,市,12/18,,322,+1,+0.31,979,317,321,326,326.5,321,1.71,17,2.97,,,,
23,24,3563,牧德,市,12/18,,318.5,-6.5,-2,595,191,325,328,328,318.5,2.92,12.2,7.43,,,,
24,25,6121,新普,櫃,12/18,,317,+1.5,+0.48,865,274,315.5,314.5,318.5,314,1.43,15.7,2.63,,,,
25,26,8299,群聯,櫃,12/18,,313,-6.5,-2.03,1984,624,319.5,318,318.5,313,1.72,15.1,2.21,,,,
26,27,3152,璟德,櫃,12/18,,310,-8.5,-2.67,405,127,318.5,318.5,320,309.5,3.3,30.8,6.81,,,,
27,28,2912,統一超,市,12/18,,305.5,+2,+0.66,886,271,303.5,304.5,307,304,0.99,30.2,9.15,,,,
28,29,2395,研華,市,12/18,,302,+2,+0.67,790,238,300,301.5,302,298,1.33,29,6.93,,,,
29,30,3105,穩懋,櫃,12/18,,301,+0.5,+0.17,5201,1558,300.5,300.5,301.5,296.5,1.66,37.9,4.49,,,,
30,31,8454,富邦媒,市,12/18,,293,+4.5,+1.56,34,9.96,288.5,288.5,293,288.5,1.56,29.7,6.96,,,,
31,32,2227,裕日車,市,12/18,,289,+2.5,+0.87,292,84.2,286.5,288,290,287,1.05,13.1,4.38,,,,
32,33,8436,大江,櫃,12/18,,289,-2.5,-0.86,1155,335,291.5,291.5,292,286.5,1.89,15,5.17,,,,
33,34,3131,弘塑,櫃,12/18,,284.5,-2.5,-0.87,287,81.7,287,287,287,282,1.74,29,3.12,,,,
34,35,2049,上銀,市,12/18,,280,+3,+1.08,2779,778,277,277,281.5,275.5,2.17,32.2,3.66,,,,
35,36,8464,億豐,市,12/18,,276.5,+5.5,+2.03,845,234,271,272.5,281.5,272,3.51,18.8,6.34,,,,
36,37,2729,瓦城,櫃,12/18,,274,-2,-0.72,37,10.2,276,276,276,273.5,0.91,17.6,3.21,,,,
37,38,3081,聯亞,櫃,12/18,,257,-3,-1.15,2768,730,260,260,269.5,257,4.81,41.7,5.92,,,,
38,39,6230,超眾,市,12/18,,255,+1.5,+0.59,5469,1392,253.5,256,257.5,250.5,2.76,28,5.56,,,,
39,40,6414,樺漢,市,12/18,,251.5,-1,-0.4,406,103,252.5,252.5,254.5,251.5,1.19,20.4,2.56,,,,
40,41,3611,鼎翰,櫃,12/18,,249,-0.5,-0.2,39,9.72,249.5,249,249.5,248,0.6,14.1,3.63,,,,
41,42,2379,瑞昱,市,12/18,,248,-2,-0.8,5459,1350,250,251,251.5,244.5,2.8,20.2,4.73,,,,
42,43,2474,可成,市,12/18,,247.5,+1.5,+0.61,4215,1046,246,248,250,246,1.63,12.9,1.28,,,,
43,44,3443,創意,市,12/18,,242,-2.5,-1.02,1470,358,244.5,247,247,240,2.86,51,8,,,,
44,45,2231,為升,市,12/18,,241.5,-1.5,-0.62,365,88.1,243,243,243,240,1.23,26,7.34,,,,
45,46,5287,數字,櫃,12/18,,241.5,-0.5,-0.21,14,3.38,242,241.5,242,241,0.41,17.7,6.35,,,,
46,47,6462,神盾,櫃,12/18,,240.5,+2,+0.84,1425,342,238.5,239.5,241.5,239,1.05,26.9,6.48,,,,
47,48,2357,華碩,市,12/18,,239,+4,+1.7,2503,595,235,235,239.5,234.5,2.13,26.6,1.06,,,,
48,49,8437,大地-KY,櫃,12/18,,238.5,+0.5,+0.21,7,1.68,238,237,238.5,237,0.63,18.4,4.52,,,,
49,50,4137,麗豐-KY,市,12/18,,236,+1,+0.43,263,62,235,236.5,236.5,234,1.06,13.6,4.61,,,,
50,51,8341,日友,市,12/18,,235,-1,-0.42,346,81.4,236,237.5,237.5,233.5,1.69,26.3,9.39,,,,
51,52,3661,世芯-KY,市,12/18,,230,-3.5,-1.5,8095,1927,233.5,237,245,230,6.42,62.3,4.28,,,,
52,53,3034,聯詠,市,12/18,,229,-9,-3.78,8515,1972,238,234,236,229,2.94,17,4.47,,,,
53,54,1256,鮮活果汁-KY,市,12/18,,224,+4,+1.82,183,41,220,220.5,226,220.5,2.5,14.6,3.86,,,,
54,55,1264,德麥,櫃,12/18,,222,+0.5,+0.23,5,1,221.5,221.5,222,221.5,0.23,16.3,3.33,,,,
55,56,6561,是方,櫃,12/18,,219.5,-0.5,-0.23,28,6.22,220,221,221,218.5,1.14,28.7,5.61,,,,
56,57,5903,全家,櫃,12/18,,218.5,0,0,22,4.85,218.5,219,219.5,218.5,0.46,28.6,8.85,,,,
57,58,3324,雙鴻,櫃,12/18,,216.5,-4.5,-2.04,9469,2101,221,223.5,226,216.5,4.3,20.6,5.86,,,,
58,59,6146,耕興,櫃,12/18,,216.5,+4.5,+2.12,113,24.5,212,216,218,213.5,2.12,30.1,5.81,,,,
59,60,3665,貿聯-KY,市,12/18,,213.5,0,0,1775,380,213.5,214,215.5,212.5,1.41,14,2.7,,,,
60,61,6538,倉和,櫃,12/18,,211,+2.5,+1.2,1695,354,208.5,209,211.5,205.5,2.88,29.3,4.86,,,,
61,62,6452,康友-KY,市,12/18,,208.5,-3.5,-1.65,1492,312,212,210.5,211.5,208,1.65,14.7,2.19,,,,
62,63,9921,巨大,市,12/18,,208.5,+1,+0.48,811,169,207.5,206,209,205.5,1.69,22,3.66,,,,
63,64,4947,昂寶-KY,櫃,12/18,,208,-5,-2.35,1939,403,213,212.5,212.5,204,3.99,20.1,3.01,,,,
64,65,6803,崑鼎,櫃,12/18,,207.5,-1,-0.48,34,7.09,208.5,208,208,207.5,0.24,17.2,2.88,,,,
65,66,8406,金可-KY,櫃,12/18,,207.5,-0.5,-0.24,112,23.2,208,207,208.5,206.5,0.96,18.5,1.84,,,,
66,67,8462,柏文,市,12/18,,202.5,+4,+2.02,310,62.6,198.5,199.5,203,198.5,2.27,27.1,7.31,,,,
67,68,3653,健策,市,12/18,,200.5,-1.5,-0.74,2151,434,202,203.5,204.5,199.5,2.48,34.8,4.25,,,,
68,69,3413,京鼎,市,12/18,,197,-6,-2.96,3353,666,203,203,203,196,3.45,27.8,4.07,,,,
69,70,3680,家登,櫃,12/18,,197,+8,+4.23,1879,367,189,191,197.5,191,3.44,41.6,8.95,,,,
70,71,9910,豐泰,市,12/18,,194,+7,+3.74,2134,411,187,187.5,195,187.5,4.01,22.1,8.64,,,,
71,72,6683,雍智科技,櫃,12/18,,193.5,-0.5,-0.26,383,74.7,194,195,197.5,193,2.32,27.2,4.02,,,,
72,73,1707,葡萄王,市,12/18,,191,-1,-0.52,234,44.9,192,192,193,191,1.04,20.2,4.52,,,,
73,74,4439,冠星-KY,市,12/18,,191,-1,-0.52,66,12.6,192,192,194,189.5,2.34,20.3,3.04,,,,
74,75,2492,華新科,市,12/18,,183.5,-1,-0.54,6740,1245,184.5,184,186.5,183,1.9,8.58,2.75,,,,
75,76,5536,聖暉,櫃,12/18,,183,0,0,194,35.6,183,183.5,184,182,1.09,11.1,2.33,,,,
76,77,2404,漢唐,市,12/18,,182.5,-0.5,-0.27,1304,238,183,182.5,184,182,1.09,12.6,4.53,,,,
77,78,6670,復盛應用,市,12/18,,179.5,+2.5,+1.41,494,88.7,177,177.5,180.5,177,1.98,11.7,4.16,,,,
78,79,4551,智伸科,市,12/18,,178,-2.5,-1.39,379,67.9,180.5,181.5,181.5,178,1.94,23.6,4.83,,,,
79,80,6568,宏觀,櫃,12/18,,178,-1.5,-0.84,34,6.07,179.5,180,180,178,1.11,17.4,3.26,,,,
80,81,4968,立積,市,12/18,,176,-1,-0.56,10539,1891,177,179,183,176,3.95,58.7,8.27,,,,
81,82,5263,智崴,櫃,12/18,,176,-1.5,-0.85,142,25.2,177.5,178.5,178.5,176,1.41,24.4,3.38,,,,
82,83,6679,鈺太,櫃,12/18,,176,+7,+4.14,7616,1354,169,174.5,181,172.5,5.03,51,7.03,,,,
83,84,6666,羅麗芬-KY,市,12/18,,175,+0.5,+0.29,24,4.17,174.5,174,176,174,1.15,16.8,4.76,,,,
84,85,4943,康控-KY,市,12/18,,174.5,-2.5,-1.41,3618,637,177,177.5,179,172.5,3.67,48.9,4.96,,,,
85,86,8070,長華,市,12/18,,174.5,0,0,65,11.4,174.5,174.5,175,174.5,0.29,9.67,1.97,,,,
