,排名,代號,名稱,成交,漲跌價,漲跌幅,持股資料週別,10張以下(人),10張以下增減,10~50張(人),10~50張增減,50~100張(人),50~100張增減,100~200張(人),100~200張增減,200~400張(人),200~400張增減,400~800張(人),400~800張增減,800~1千張(人),800~1千張增減,超過1千張(人),超過1千張增減
0,1,6472,保瑞,150.5,-2,-1.31,19W51,4506,+53,246,+11,39,-3,11,+1,3,-1,4,0,0,0,6,0
1,2,1441,大東,10.15,+0.9,+9.73,19W51,11922,+9,534,-4,64,-3,31,+2,9,0,13,0,3,0,13,0
2,3,6452,康友-KY,211,-2,-0.94,19W51,8188,+800,841,+263,95,+22,46,+3,27,+3,19,+7,3,+3,10,0
3,4,8437,大地-KY,239,-0.5,-0.21,19W51,4101,+12,95,+1,19,0,17,0,29,0,12,0,3,0,10,0
4,5,6514,芮特-KY,72.8,-0.1,-0.14,19W51,1945,-7,148,+2,29,-1,20,+1,3,0,0,0,0,0,2,0
5,6,1436,華友聯,36.7,+0.15,+0.41,19W51,7285,-10,96,-1,19,+1,9,0,9,0,7,0,2,0,12,0
6,7,1599,宏佳騰,37.4,+0.1,+0.27,19W51,4733,+9,376,-2,36,+2,18,0,6,0,5,0,3,0,13,0
7,8,4745,合富-KY,41.65,-0.2,-0.48,19W51,3575,0,452,0,62,+1,36,0,18,-1,8,0,2,0,14,0
8,9,4754,國碳科,53.2,+0.1,+0.19,19W51,771,+3,136,-1,19,0,13,0,11,0,3,0,1,0,2,0
9,10,4912,聯德控股-KY,106,0,0,19W51,1814,-7,247,+3,35,-1,29,+2,9,-1,6,-1,3,+1,7,0
10,11,2509,全坤建,23.25,-0.05,-0.21,19W51,7107,+4,519,-5,60,+2,32,+1,16,-1,5,0,2,0,34,0
11,12,4433,興采,36.8,-0.25,-0.67,19W51,3269,-9,366,-6,46,-1,15,+1,7,0,2,0,0,0,5,0
12,13,6516,勤崴國際,106.5,+4,+3.9,19W51,1769,+4,180,-5,35,+2,16,0,11,0,6,0,0,0,6,0
13,14,4552,力達-KY,40.3,-0.3,-0.74,19W51,7182,-33,945,+5,92,-3,57,+4,24,+1,5,-1,0,0,3,0
14,15,2752,豆府,112,+0.5,+0.45,19W51,994,-11,70,-4,21,0,11,0,8,+1,1,0,1,0,6,0
15,16,3706,神達,29.1,+0.1,+0.34,19W51,87001,0,7270,-13,790,+5,374,0,169,0,59,-4,16,+5,73,+1
16,17,5386,青雲,31.3,+0.3,+0.97,19W51,5012,-2,188,-2,11,+1,9,-1,6,0,4,0,0,0,1,0
17,18,4123,晟德,60.1,+0.8,+1.35,19W51,21533,-86,2117,+25,245,-1,142,+2,84,+2,43,-3,10,0,55,0
18,19,6485,點序,32.1,+0.5,+1.58,19W51,7706,-5,321,-5,40,+1,37,0,12,-1,8,0,1,0,5,0
19,20,8436,大江,292,-3,-1.02,19W51,14464,+528,644,+31,74,+3,66,+1,36,0,20,+3,1,-2,20,-1
20,21,2929,淘帝-KY,90.6,+0.1,+0.11,19W51,12498,+21,762,-6,69,0,40,-1,29,+1,10,0,3,-1,8,0
21,22,4114,健喬,24.6,-0.35,-1.4,19W51,29185,-61,2175,+5,240,+1,102,-3,46,-1,25,+1,4,0,26,0
22,23,2104,國際中橡,31.05,+0.3,+0.98,19W51,71053,+186,8548,+42,873,0,355,+2,135,-2,56,-1,16,+2,59,-1
